,a,b
8400,0.18175661948940205,0.0
8401,0.22175403808815633,0.0
8409,0.15775707526376112,0.0
8411,0.16178908345640314,0.0
8445,0.1996058453872755,0.0
8447,0.23275376143606644,0.0
8448,0.22252621979024167,0.0
8477,0.21997295414498216,4.639227638008043e-05
8478,0.2652698161692034,0.0017110983638859152
8483,0.25846213106071547,3.200595732968338e-05
8484,0.24650991917707568,0.0
8575,0.25680524326651677,0.002067776190061782
8576,0.18200311927849733,0.0
8577,0.19544875295831057,0.0
8600,0.25190051618958237,0.001049029205932163
8601,0.23155896816495558,0.000160431368056072
8607,0.19477503628447024,0.0
8609,0.20732272516607447,0.0
8622,0.23312776860939807,0.0008397234286510342
8700,0.22939190632878936,0.0
8748,0.2303170721242545,0.0
8761,0.2397391809209057,0.00044107331829724847
8786,0.19040862656072643,0.0
8840,0.2525404591644712,0.0027072050350133887
8856,0.2576804915514593,0.0
8866,0.2058282208588957,0.00041574759544517705
8877,0.21610305958132045,0.0
8920,0.20564686051411715,3.1929776411350975e-05
8962,0.2241055400158644,0.0005105636089145833
8969,0.22878574777308955,0.0001173577856798456
8970,0.2418453775455037,0.0
8976,0.2232759337825472,0.0008158413210150613
8997,0.1839490096634912,0.0
9001,0.17340741697893786,0.0
9012,0.2011767792227261,0.0
9013,0.20893663397166434,0.0
9037,0.20659662086749028,0.0
9044,0.22284030055211923,0.001475846343730067
9051,0.199176282883752,0.0
9065,0.23212972972972973,0.0
9066,0.24632892804698972,0.00013071680763024706
9088,0.20804588791566545,0.0
9093,0.20080050873452288,3.918732326287913e-05
9100,0.22508281269654912,1.9336104890447337e-05
9113,0.20973665702899116,7.165064844617166e-05
9120,0.21256038647342995,0.00038663079801332285
9127,0.2806797385620915,0.009004595372668078
9141,0.24270922819550572,0.00044123143037832005
9160,0.17791329709664588,1.3919029412539212e-05
9169,0.20750705477598672,2.0192135703006428e-05
9228,0.20424625218780915,0.0
9232,0.19320472214224013,0.0
9233,0.18184897862393712,0.0
9236,0.22694795586183572,0.0
9279,0.25487868572242534,0.0022407767916655832
9287,0.19695468721335535,0.0
9294,0.22802769635954293,0.0002692061849887573
9345,0.232562169656009,0.0
9348,0.24966280638109856,0.0002938457475713689
9351,0.20005217456117466,5.411967870475855e-05
9357,0.21719603479668217,0.0
9378,0.24341359452228722,0.0004962878122045219
9379,0.2364236952213169,0.0004330463478822229
9387,0.221772361082421,0.00037257824143070045
9401,0.2610260150741551,8.530279257116488e-05
9457,0.1676556936723093,0.0
9460,0.19067239725784108,4.640471232729314e-05
9489,0.23199930849684502,0.00018263133377681594
9500,0.24669117647058825,0.0
9510,0.27564958406079904,0.0042948649478909175
9546,0.20014168002684463,0.0
9561,0.28148925013109594,0.001959617363048921
9563,0.21374532133471372,0.0
9571,0.23156895733574911,0.00010680996240735041
9573,0.22125133954331877,0.0007450176424509553
9603,0.21744237857981935,0.00037899018119523953
9615,0.21717846016911438,0.0
9631,0.23520133198965956,0.0
9655,0.29444353025067194,0.007618091483262062
9659,0.22169908726717052,0.0
9705,0.238875044499822,2.804096326376489e-05
9720,0.25585053143320147,0.0004524405637920079
9727,0.20456537479516787,0.00010761786569698042
9746,0.16950865226727296,0.00038213949302907745
9758,0.2495119457097704,0.0012098239492700303
9761,0.16190131499577753,7.976779471768084e-06
9784,0.24375624375624375,0.0002893291162341433
9787,0.21212360704971153,0.0
9808,0.23718628490632732,0.00014812740687415152
9812,0.16459693987060375,0.0
9837,0.26777073876390484,0.000531174481528427
9864,0.2030103623023977,0.0
9884,0.23523225241016651,0.0
9898,0.21459982409850484,0.0
9909,0.2241055400158644,0.0
9925,0.18460691932044845,0.0
9942,0.21518479916619898,0.0
9945,0.2448346636259977,2.678232410424654e-05
9972,0.2779187160238157,0.0006176277220861036
9974,0.20963836600796687,0.0
9983,0.18949449308105054,0.0
9987,0.2687493741864424,0.00269375845490667
10037,0.2353663348971807,9.615349178368733e-05
10043,0.20532435740514077,0.0
10048,0.23955730096394146,0.002118186596097857
10049,0.2560580041976722,0.0023471724899993404
10063,0.26233994721923565,0.00015399584300325447
10072,0.21095653540831566,0.0
10078,0.20784450381383823,0.0
10086,0.24460038275767793,0.0
10093,0.28239255089694354,0.004567716860964495
10113,0.2123837784371909,0.0
10165,0.22368530710892576,1.1389134376868925e-05
10169,0.21019656981752682,0.0
10199,0.15493852104139005,0.0
10209,0.3237830991012727,0.06036182093831106
10226,0.22264620489423476,0.0003746032992759999
10234,0.30861216511440726,0.026856532868252354
10249,0.2292547512278454,0.0011617995297075908
10271,0.16310160427807488,0.0007450176424509553
10285,0.19754176786634284,0.0
10313,0.19317691089678998,0.0
10376,0.2764303002214326,0.010263333209320182
10378,0.22260927262171354,2.898661891459662e-05
10389,0.1726655730322622,0.0
10417,0.19007825501929818,0.0
10434,0.17225003208830703,2.4569071442506067e-05
10436,0.1719520789288231,0.0
10438,0.2359145644721807,0.00010960300667980081
10462,0.24128011506652283,0.001529577957770748
10476,0.19860885008139706,1.0586442126884267e-05
10479,0.20923796530890665,0.0
10490,0.2049089590411116,0.0
10500,0.2493381020948488,0.0012497790354369747
10544,0.23399154352469378,0.0
10545,0.20666820666820668,0.0
10548,0.21834451901565996,0.00012102551286418496
10556,0.20409094365447494,0.0
10562,0.2154179541715157,0.0
10568,0.20717869548436896,0.00037257824143070045
10581,0.2221210741920801,0.008608317706621297
10587,0.21211522503655114,0.0
10590,0.21946034341782503,0.0
10625,0.22279405661160454,0.0
